Rank,Name,Team,2024 Finish
NR,Will Coogan,North Carolina,
NR,Gitch Hayes,North Carolina,
NR,Jacob Laney,North Carolina,
NR,Tommy Latham,North Carolina,
NR,Robert Mechura,North Carolina,
NR,Aiden Neal,North Carolina,
NR,Luke Pash,North Carolina,
NR,Joe Sapone,North Carolina,
NR,Tomer Tarragano,North Carolina,
NR,Aiden Barnhill,Northern Arizona,
NR,Jackson Elliott,Northern Arizona,
NR,Randy Espinoza,Northern Arizona,
NR,Ethan Godsey,Northern Arizona,
NR,Cael Grotenhuis,Northern Arizona,
NR,Justin Keyes,Northern Arizona,
NR,Erik Le Roux,Northern Arizona,
NR,Zack Munson,Northern Arizona,
NR,Manny Perez,Northern Arizona,
NR,Aidan Puffer,Northern Arizona,
NR,Aaron Sahlman,Northern Arizona,
NR,Colin Sahlman,Northern Arizona,
NR,Clay Shively,Northern Arizona,
NR,Ford Washburn,Northern Arizona,
NR,Daelen Ackley,Notre Dame,
NR,Ryan Pajak,Notre Dame,
NR,Kevin Sanchez,Notre Dame,
NR,CJ Singleton,Notre Dame,
NR,Cameron Todd,Notre Dame,
NR,Evans Biwott,Oklahoma,
NR,Josh Cherry,Oklahoma,
NR,Thobias Cheruiyot,Oklahoma,
NR,Hayden Gray,Oklahoma,
NR,Shadrack Kiptoo,Oklahoma,
NR,Ronald Ngetich,Oklahoma,
NR,Logan Seger,Oklahoma,
NR,Adrian Stuphan,Oklahoma,
NR,Will Conway,Oklahoma State,
NR,Jacob Deacon,Oklahoma State,
NR,Ayden Granados,Oklahoma State,
NR,Adisu Guadia,Oklahoma State,
NR,Ian Kemey,Oklahoma State,
NR,Laban Kipkemboi,Oklahoma State,
NR,David Mora,Oklahoma State,
NR,Will Muirhead,Oklahoma State,
NR,Ryan Schoppe,Oklahoma State,
NR,Lukas Ehrle,Ole Miss,
NR,Zack Gilbertson,Ole Miss,
NR,Toby Gillen,Ole Miss,
NR,Ky Hehir,Ole Miss,
NR,Owen Kelley,Ole Miss,
NR,Kidus Misgina,Ole Miss,
NR,Marco Perez,Ole Miss,
NR,Gabe Scales,Ole Miss,
NR,John Shoemaker,Ole Miss,
NR,Evan Thornton-Sherman,Ole Miss,
NR,Abraham Chelangam,Oral Roberts,
NR,Benjamin Balazs,Oregon,
NR,Evan Bishop,Oregon,
NR,Connor Burns,Oregon,
NR,Sergio Del Barrio,Oregon,
NR,Tayson Echohawk,Oregon,
NR,Anthony Fasthorse,Oregon,
NR,Juan Gonzalez,Oregon,
NR,James Harding,Oregon,
NR,Abdel Laadjel,Oregon,
NR,Jack Meier,Oregon,
NR,Michael Mireles,Oregon,
